ID	Target	Tweet	Stance
10041	Atheism	FAITH sees beyond the difficulties and counts on God.  -Colon Smith #SemST	UNKNOWN
10042	Atheism	Watch @Dame_Lillard bring the Blazers to the playoff #Beast #SemST	UNKNOWN
10043	Atheism	The Irish national school system is secular under law. We can reaffirm secularism by going through the courts! @HumanismIreland #SemST	UNKNOWN
10044	Atheism	We often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned. - Charles Spurgeon #GOD #SemST	UNKNOWN
10045	Atheism	@dsurman  Jesus is favor of all, that they would believe He died for them. Why try to wage a conflict you will lose? #God #SemST	UNKNOWN
10046	Atheism	Currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #SemST	UNKNOWN
10047	Atheism	Proud to be #TeamJinnah :) No Bhutto, no Imran's , only Jinnah's Pakistan :) #Inclusive #SemST	UNKNOWN
10048	Atheism	Great baptism service at #woodgreen very moving stories of people's faith in #rich_lacey #SemST	UNKNOWN
10049	Atheism	Religious holidays should not be public. #RightsAndRecourse #Transformation #SemST	UNKNOWN
10050	Atheism	I officiate #humanist & most #nonreligious weddings-starting at $99. Ask me about #student discounts! #216 #celebrant #weddings #SemST	UNKNOWN
10051	Atheism	RT @br_holden: Religions are perfectly happy to peddle an afterlife that doesn't actually exist.  #freethinker #SemST	UNKNOWN
10052	Atheism	RT @br_holden: Superstition-based thoughts tend to be wasted thoughts.  #freethinker #SemST	UNKNOWN
10053	Atheism	RT @br_holden: Just say no to superstitious thought in general and religions in particular.  #freethinker #SemST	UNKNOWN
10054	Atheism	RT @br_holden: Atheists have every right to exist in the public sphere.   #freethinker #SemST	UNKNOWN
10055	Atheism	RT @GMHumanistChoir: We're currently looking for new members to join our choir, all welcome, no auditions. #87RT #choir #Manchest... #SemST	UNKNOWN
10056	Atheism	@Rowdman53 Atheist are offended with Christian Symbols  + Only when when forced where they don't belong. #SemST	UNKNOWN
10057	Atheism	Pushing beyond the absurd The light in darkened minds Railing against ancient words Seeking, honest, open it is truth we find. #SemST	UNKNOWN
10058	Atheism	Your word has given me life -Ps. 119:49-50 #SemST	UNKNOWN
10059	Atheism	God gives us the right to do what we want; as long as we understand the outcomes of our actions. #spiritual #SemST	UNKNOWN
10060	Atheism	The deeper I go with in- The deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- The deeper my  #SemST	UNKNOWN
10061	Atheism	RT @faithsns716: Psalm103:3-Who forgives all your iniquities; who heals all your diseases #SemST	UNKNOWN
10062	Atheism	James 1:14 (#KJV) But every man is TEMPTED, when he is drawn away of his own LUST, and enticed.  #God #Lord #Christ #Holy #Spirit #SemST	UNKNOWN
10063	Atheism	We are human. It is human nature to eat and drink ourselves destitute, fuck each other raw, and kill each other. #SemST	UNKNOWN
10064	Atheism	RT @ACatholicPrayer: Holy Trinity, one God, Have #mercy on us. #Catholic #SemST	UNKNOWN
10065	Atheism	@LadyLydiaD When you become a Father you realize that you are not the most important person in the room anymore.... Your child is. #SemST	UNKNOWN
10066	Atheism	Is near where we will be told not 2 preach in The Name Acts 4:12 There is salvation in no 1 else...NLT #DCM2015 but #SemST	UNKNOWN
10067	Atheism	What really builds a relationship is when we relate to what we don't understand about God.  #Emunah #SemST	UNKNOWN
10068	Atheism	I am human. I look forward to the extinction of humanity with eager anticipation. We deserve nothing less. #SemST	UNKNOWN
10069	Atheism	Moral relativism does not feed into democracy but rather it feeds into chaos #Catholic #Christian #liberal #progressive #secularist #SemST	UNKNOWN
10070	Atheism	By faith we receive what Christ did for us and we repent to show that we have received what He did. #repentance #atonement #SemST	UNKNOWN
10071	Atheism	Let Your fear come upon every soul in my city -Acts 2:43 #SemST	UNKNOWN
10072	Atheism	Absolutely fucking sick & tired of the religious and their "We're persecuted" bollocks! So fucking what? Pissoff! #SemST	UNKNOWN
10073	Atheism	In other related news. Boko Haram has killed over 200 people in the last 48hrs. #SemST	UNKNOWN
10074	Atheism	Join me on #Periscope M-F @ 8am! #Entrepreneurship #Productivity #ChristianEntrepreneurs #SemST	UNKNOWN
10075	Atheism	Praise and thank God for everything in your life today. #grateful #SemST	UNKNOWN
10076	Atheism	If Jesus is present, it is impossible for your situation/environment to remain a desolate place! #Joy #Victory #NewThings #SonTalk #SemST	UNKNOWN
10077	Atheism	Heaven and earth will pass away, but My words will not pass away. Matthew 24:35 #Tworship #SemST	UNKNOWN
10078	Atheism	#KCA #VoteJKT48ID premierdigi: Are Facebook and Twitter good places to defend your faith? How do you communicate?   #christianity #d... #SemST	UNKNOWN
10079	Atheism	@CrownFmradio899 however impossible it may sound, I really would have loved to be like the lord #HaveYourSay #SemST	UNKNOWN
10080	Atheism	Imagine a species that had split the atom and ventured into space yet most still believe a magic man created everything with magic #SemST	UNKNOWN
10081	Atheism	Job said "The thing I greatly feared has come upon me and that which I was afraid of has happened to me" Job 3:25  fear opens doors  #SemST	UNKNOWN
10082	Atheism	Jesus, you are my helper. Help me to rest and trust in you and your finished work at the Cross. Amen. #SemST	UNKNOWN
10083	Atheism	The Lord is pleased w/every effort,even tiny,daily ones in which we strive to be more like Him.~Ezra Taft Benson  #lds #inspiration #SemST	UNKNOWN
10084	Atheism	I don't believe in the hereafter.  I believe in the here and now. #SemST	UNKNOWN
10085	Atheism	If you want to live as a healer, you must be willing to change places with those who are hurting. #God #SemST	UNKNOWN
10086	Atheism	Heb 10:12  this man, after he had offered one sacrifice for sins for ever, sat down on the right hand of God; #bible #SemST	UNKNOWN
10087	Atheism	Sometimes it's the broken heart that finds the truest path to love. #SemST	UNKNOWN
10088	Atheism	Religious moderation is the product of secular knowledge and scriptural ignorance. - @SamHarrisOrg  #SemST	UNKNOWN
10089	Atheism	Remember, #God has it all worked out. #SemST	UNKNOWN
10090	Atheism	What we are is what we define the world to be. #existentialism #spirituality #SemST	UNKNOWN
10091	Atheism	I'm making it happen tho  S/O to GOD . #Patience #Priorities #SemST	UNKNOWN
10092	Atheism	Yeah I think maybe words just stopped mattering #SemST	UNKNOWN
10093	Atheism	Keep flowinz az da windz~ blend, bend and never break! #SemST	UNKNOWN
10094	Atheism	May the Gods grant me many more freelance gigs in PDX #intention #SemST	UNKNOWN
10095	Atheism	@vicgreenaway so, why doesn't a hot air balloon pilot look down to horizon as he rises, rather than horizon being ALWAYS eye level? #SemST	UNKNOWN
10096	Atheism	@narendramodi @PMOIndia y politicians in d office can offer iftikar parties.. It is waste of tax payer money. #SemST	UNKNOWN
10097	Atheism	he better chill with them retweets #SemST	UNKNOWN
10098	Atheism	I want to give the world a hug. A huge, huge hug. #human #4thofJuly #everyone #planetearth #SemST	UNKNOWN
10099	Atheism	My son, be wise, and make my heart glad, that I may answer him that reproacheth me. Proverbs 27:11 #SemST	UNKNOWN
10100	Atheism	Had a great time @ worship rehearsal.Cant wait till Sunday ! #bridgechurch2015 #bridgelaunchteam #Willacycounty #weloveyou #SemST	UNKNOWN
10101	Atheism	Every religion is good that teaches man to be good and I know of none that instructs him to be bad. ~Thomas Paine #SemST	UNKNOWN
10102	Atheism	@godless_mom I like how Jesus is reduced to appearing on toast and photoshopped images and they still praise it. #SemST	UNKNOWN
10103	Atheism	@godless_mom @stereotypemepls @FlyPastafarian how come u NEVER talk about the GUY who raped his DAUGHTER for 18 years (por exemplo) #SemST	UNKNOWN
10104	Atheism	Life's just like a test to sort out the best from the unfit rest. #adversity #evolution #Heaven #Nirvana #Valhalla #SemST	UNKNOWN
10105	Atheism	Hindus pay for Muslim subsidy for HAJ..but need security from Muslims to visit temples-Amarnath yatra..   #HindusUnderAttack #SemST	UNKNOWN
10106	Atheism	The greatest tragedy in life is the prayers that go unanswered because they go unasked. #ghlondon #SemST	UNKNOWN
10107	Atheism	@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder #SemST	UNKNOWN
10108	Atheism	We become what we worship. So be intentional in choosing what you worship for that is what you will become. #worship #SemST	UNKNOWN
10109	Atheism	Steppin' out in faith and love.....have a safe and pleasant day, tweeple!  #blessed #love #happyday #SemST	UNKNOWN
10110	Atheism	Isaiah 43:15 I am the Lord, your Holy One, the Creator of Israel, your King. #God #SemST	UNKNOWN
10111	Atheism	Come to me, all you who are weary and burdened, and I will give you rest. - Matt 11:28 #Rest #Peace #Scripture #Bible #SemST	UNKNOWN
10112	Atheism	From the end of the earth I call to You when my heart is faint; Lead me to the rock that is higher than I Psalm 61:2 NASB #HeIsHigher #SemST	UNKNOWN
10113	Atheism	(2/2) the Father's active goodness and unrestricted love. - Ruthless Trust by Manning.... Lord, may I forever trust your love for me. #SemST	UNKNOWN
10114	Atheism	Best feeling is when you think you can't do it but you did! #Will #SemST	UNKNOWN
10115	Atheism	Bind up the wounds of those whose cry comes to You, O God, rising like a tide, whose hope is in You alone. #grace #SemST	UNKNOWN
10116	Atheism	My Jesus, I wish to do nothing but Thy most holy will. #Saint Philip Neri #Catholic #SemST	UNKNOWN
10117	Atheism	@BJPScams @ANI_news Elections were nearing in Bihar / UP / TN so he may be so sickularism sorry #SemST	UNKNOWN
10118	Atheism	Jer 20:11 But the #LORD is with me like a mighty warrior; so my persecutors will stumble and not prevail > #God #Love #SemST	UNKNOWN
10119	Atheism	By accepting religion, you are pulling a big fuzz ball of superstition into your brain.  #freethinker #SemST	UNKNOWN
10120	Atheism	I love God  but "We get raped in life by demons and then judged for being negative and complaining" by Christians. #God #SemST	UNKNOWN
10121	Atheism	As opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #SemST	UNKNOWN
10122	Atheism	One Nation on their knees, with blowjobs and semen for all. Heavens to Betsy! #ReligionIsBullshit  #fyilive #SemST	UNKNOWN
10123	Atheism	I hope for a time when schools teach 'ethics' instead of 'religion'. Sure - inc faiths bt in a sociocultl, geopoliticl context #SemST	UNKNOWN
10124	Atheism	What other nation is so great as to have their gods near them the way the Lord our God is near us whenever we pray to him? #Eritrea #SemST	UNKNOWN
10125	Atheism	We have to #Pray with our eyes on #God, not on the difficulties. request #Godanswersprayers #SemST	UNKNOWN
10126	Atheism	Enough sneaking around, bringing in religious groups into #abed public #schools to access our kids in secrecy. #parents #SexED #SemST	UNKNOWN
10127	Atheism	@Maisie_Williams everyone feels that way at times. Not just women #SemST	UNKNOWN
10128	Atheism	Choose Him who died so that you may live, over him who lives so that you may die.  - WTL Apologetics  #DeadToSin #AliveInChrist #SemST	UNKNOWN
10129	Atheism	@aigkenham @ATHE1STP0WER compromise your intentional ignorance all the way to freedom from religion. The best plan ever! #SemST	UNKNOWN
10130	Atheism	With #SCOTUS done, It's time for @boyscouts to stop their bigoted practice of rejecting #LGBT scouts at age 18.  #EqualityForAll #SemST	UNKNOWN
10131	Atheism	Subtract secularism from modern systems of superstition & you'll be left with the ancient anarchy of archaic theocracy.  #SemST	UNKNOWN
10132	Atheism	@flipflops I can confirm. They also worship #Hitler, the atheist diety and inventor of #SemST	UNKNOWN
10133	Atheism	Mark 8.36-38.KJV  For what shall it profit a man, if he shall #gain the whole #world, and lose his own #soul?..." #Pray #Love #SemST	UNKNOWN
10134	Atheism	Why would I listen to someone that is not doing anything to better their life compared to a successful millionaire?#DonaldTrump #ACN #SemST	UNKNOWN
10135	Atheism	Question to the #religious folks out there who can't comprehend the universe having began without a God. Where did God come from? #SemST	UNKNOWN
10136	Atheism	@evrttbrd this is PRECIOUS. omg go get em #Europe4Jesus #awakeningeurope #benfitz #bethel #paulyman #heidsbakes #father #jc #abba #SemST	UNKNOWN
10137	Atheism	@Movingdisaster @roomansi2010  Believe and Obey.  Believe Jesus is the Messiah who saves us from sin by His death. Obey Acts 2:38-39. #SemST	UNKNOWN
10138	Atheism	If the governments of all countries were secular, the world would be a much different, probably better, place. Realising this now. #SemST	UNKNOWN
10139	Atheism	@truthway_eng  Jesus commands you to follow Acts 2:38-39 to be saved. #christian #christ #Mary #Bible #church #trinity #usa #uk #aus #SemST	UNKNOWN
10140	Atheism	What is the deal with #Christian people always needing to feel like they are persecuted? #ReligiousFreedom #tcot #SemST	UNKNOWN
10141	Atheism	Patriotism and Humanism are impossible for someone who takes #Islam too seriously. #SemST	UNKNOWN
10142	Atheism	Bethany Hamilton Reveals She is Resting in God's Promises Despite 'Unknow #bible #biblestudy #scripture #Christianity #ChristianNews #SemST	UNKNOWN
10143	Atheism	While scientists fantasize about bugs I am considering gods.  ~~   #TheLUPOL #theism #futurism #singularity #AncientAliens #SemST	UNKNOWN
10144	Atheism	#Religions can't all be right, but they can all be wrong. #SemST	UNKNOWN
10145	Atheism	No, I'm not calling myself "agnostic" because my atheism scares you and u dont know what words mean. #SemST	UNKNOWN
10146	Atheism	Irony: When a #creationist tweets about #science being wrong on a device that couldn't have existed without it.  #SemST	UNKNOWN
10147	Atheism	Husbands, love your wives, as Christ loved the church and gave himself up for her, (Ephesians 5:25 ESV) #marriage #Christian #SemST	UNKNOWN
10148	Atheism	@ACLU Get rid of religion... and all this will go away overnight... #humanist #egalitarian #SemST	UNKNOWN
10149	Atheism	Never debate with the devil... Give him an instruction to get behind you!!  #SemST	UNKNOWN
10150	Atheism	Existing is something god have never been proficient at.  #SemST	UNKNOWN
10151	Atheism	Beginning to wonder if Rev. 13:17 mark, buying & selling is relevant ala corporations' behavior (Civil War games), etc. #bible #SemST	UNKNOWN
10152	Atheism	When we have done all in our power that the Lord will find a way to open doors. - Spencer W. Kimball #courage #hope #SemST	UNKNOWN
10153	Atheism	RT @XO_NayeLashay: In love with Gospel music .. Heals my soul ,lifts my spirits, clears my mind & makes me appreciate what I do have. #SemST	UNKNOWN
10154	Atheism	Mark 6:35-36 My Father, anything that has been scaring and hindering  good from coming my way, Lord let it disappear #RCCGTR #SemST	UNKNOWN
10155	Atheism	@Pseud0_Anon @SuhaibSaqib1 very true. Raising awareness and compassion is our goal. #SemST	UNKNOWN
10156	Atheism	I have my work and my faith... If that's boring to some people, I can't tell you how much I don't care. ~Madonna Ciccone #SemST	UNKNOWN
10157	Atheism	#HemaMalini please think twice before giving a statement. A couple has lost their kid. Please show some #SemST	UNKNOWN
10158	Atheism	How do they come up with this insanity? Oh wait, they believe in a Sky-God.  #fyilive, #SemST	UNKNOWN
10159	Atheism	@Jaikrishnashree #italianchachi420 UDF/LDF made #Kerala the most backward southern state & cluelss #Hindus keep voting #marxism #SemST	UNKNOWN
10160	Atheism	Surely the Sovereign LORD does nothing without revealing his plan to his servants the prophets" #Amos3v7 #SemST	UNKNOWN
10161	Atheism	Loving who I am! Today was awesome because I enjoyed being me. Can't nobody steal my joy! #selflove #motivated by #SemST	UNKNOWN
10162	Atheism	Proverbs 28:5 (KJV) Evil men understand not judgment: but they that seek the Lord understand all things. #heart #SemST	UNKNOWN
10163	Atheism	As always, please remember: fuck Harper, fuck conservatives , fuck religion #fuckharper #NDP  #fuckcons #SemST	UNKNOWN
10164	Atheism	My prayer is that you live as long as you want and not want as long as you live. #longlife #SemST	UNKNOWN
10165	Atheism	I believe that "sacred" is an ap term to describe existence #celebrant #SemST	UNKNOWN
10166	Atheism	Man this is going to test me..  Giving all my prayers and questions to The Lord and Savior Jesus Christ.. He will guide me! #hope #SemST	UNKNOWN
10167	Atheism	We'd like to welcome Lucy Dee to the Atheist Apocalypse team!   May God have mercy on your soul!   #God #mercy #podcast #SemST	UNKNOWN
10168	Atheism	Life certainly has a way of humbling you. This last year and a half has been filled with trials and tribulations. But God! #patience #SemST	UNKNOWN
10169	Atheism	Check out Honest Liar on Netflix. James Randi is amazing. #skeptic #SemST	UNKNOWN
10170	Atheism	The experience of most LGBT people shows them that organised religion is often nothing but structured bullying. #SemST	UNKNOWN
10171	Atheism	Just a reminder that humans do not need salvation. We need clean water, food, housing, healthcare, and education. #SemST	UNKNOWN
10172	Atheism	Jesus is not dead , he wasn't real !notdead #SemST	UNKNOWN
10173	Atheism	@FoxNews @Patriot_Girl_TX @toddstarnes Shame on @OregonGovBrown for not stepping in to rescind this ruling! #Disgusting #Wrong #SemST	UNKNOWN
10174	Atheism	@SenSanders there's God. Loving each other unconditionally is what matters. #SemST	UNKNOWN
10175	Atheism	I think my username would be cool but now it looks stupid. #SemST	UNKNOWN
10176	Atheism	@SaberinZe @TheBricsPost absurd like saying #nato membership will help #Russia #Pakistan is #islamist can't be friend of #india #SemST	UNKNOWN
10177	Atheism	Lord, bring health and a cure to every area of my life, and give me the abundance of peace -Jer. 33:6 #SemST	UNKNOWN
10178	Atheism	This is love: not that we loved God, but that he loved us and sent his Son as an atoning sacrifice for our sins. 1 John 4:10 #love #SemST	UNKNOWN
10179	Atheism	#IslamicScholars have to re-think and to do research on this single but vital point. #Pakistan #Islam #HolyQuran #Hadith #SemST	UNKNOWN
10180	Atheism	RT @PaulGetter: When your past calls, don't answer. It has nothing new to say. #TeamJesus #SemST	UNKNOWN
10181	Atheism	Bless those with a broken soul #SemST	UNKNOWN
10182	Atheism	After Hindu girls #Sheila #Munni and Muslim #Razia, it's time for Christian #Mary in the item song world. #Bollywood #SemST	UNKNOWN
10183	Atheism	..    " "So decree whatever thou desirest to decree for thou canst only decree the life of this world #SemST	UNKNOWN
10184	Atheism	The enemy is not #Muslims #Christians or #Judaism. The real enemy is EXTREMISM.  Humans killing humans. #RespectBeliefs #StopWar #SemST	UNKNOWN
10185	Atheism	John 10:11 I am the good shepherd; the good shepherd lays down His life for the sheep. #God #Christ #Hallelujah #Amen #SemST	UNKNOWN
10186	Atheism	Its really incredible how much this world needs the work of missionaries! #futuremissionary #lds #hope #shallnotfear #SemST	UNKNOWN
10187	Atheism	Luke 11:5-9, 18:1-8 "Oh Lord, avenge me of my adversary..." #PstPeterock #EmpowermentService #SemST	UNKNOWN
10188	Atheism	God is good all of the time. All of the time, God is good! #YHWH #Yeshua #God #SemST	UNKNOWN
10189	Atheism	IF GOD BROUGHT YOU TO IT , HE'LL BRING YOU THROUGH IT. #GODKNOWS #WHATHEDOING #BEPATIENT #TRUSTANDBELIEVE #SemST	UNKNOWN
10190	Atheism	That scriptures Aunt just sent me was clutch!!!!  #SemST	UNKNOWN
10191	Atheism	Before I proceed in any direction...Prayer has to lead me ..follow that and you can't fail  #startup  #ThinkandgrowRich #SemST	UNKNOWN
10192	Atheism	The people who walk in darkness Will see a great light; Those who live in a dark land, The light will shine on them. Isaiah 9:2 #SemST	UNKNOWN
10193	Atheism	sing unto the LORD; for he hath done excellent things: this is known in all the earth - Isaiah 12:5 #blessings #SemST	UNKNOWN
10194	Atheism	A gift from God, live your day responsibly and without regrets.     #amwriting #parenting #amreading #Christianity #sports #SemST	UNKNOWN
10195	Atheism	Azerbaijan: Pray for President Ilham Aliyev's salvation. #vom #pray #SemST	UNKNOWN
10196	Atheism	The #Church is a hospital but the doctor is one: #Christ!! #SemST	UNKNOWN
10197	Atheism	@Ageoftheatheist ~ "Age of the #Atheist" where life has no purpose & no hope! #SemST	UNKNOWN
10198	Atheism	Give us the gifts and graces to be your vessels. Amen #SemST	UNKNOWN
10199	Atheism	In the big picture, religion is bad for society because it blunts reason.   #freethinker #SemST	UNKNOWN
10200	Atheism	when you get distinctions for half your modules but started studying the day before for each because of shoots. Thank You Father!!! #SemST	UNKNOWN
10201	Atheism	Religion has destroyed the ability for some to say know.   #SemST	UNKNOWN
10202	Atheism	I pray for the best for everybody!!! #SemST	UNKNOWN
10203	Atheism	@Brasilmagic @neiltyson there's no god 2b tired of, just tired o ppl believing in such nonsense. Time 2 focus on reality, HUMANITY #SemST	UNKNOWN
10204	Atheism	There are dreams and desires that #God has placed in your heartthey are a part of your divine destiny. #SemST	UNKNOWN
10205	Atheism	@MuhammadAli except for your belief in Allah. Gods are imaginary. Love and humanity are real. I love you. Be well and take care. #SemST	UNKNOWN
10206	Atheism	AtheistQ "God's guidance is the only excuse for a man who can't find a better justification for his actions. #SemST	UNKNOWN
10207	Atheism	2 pretty sisters are dancing with cancered kid   #SemST	UNKNOWN
10208	Atheism	You and I are part and parcel of everything else. Embrace this. #spirituality #SemST	UNKNOWN
10209	Atheism	All that is needed for God for something to happen is to say "#Be" and it is; for God is capable of all things. #God created #trinity #SemST	UNKNOWN
10210	Atheism	Ya....cuz Nicky Hilton HAD to marry up? Really? You had to land a bloody Rothschild too?? #SemST	UNKNOWN
10211	Atheism	8 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #God #SemST	UNKNOWN
10212	Atheism	Heap mischief upon them, and spend Your arrows upon them -Deut. 32:23 #SemST	UNKNOWN
10213	Atheism	God is good all the time, all the time God is good #unconditionallove #SemST	UNKNOWN
10214	Atheism	Should we take the #DNA at birth of every human being on Earth? #science #economics #SemST	UNKNOWN
10215	Atheism	Shit just don't stop but 1 thing I will not question God #SemST	UNKNOWN
10216	Atheism	1of 2 #Never be #afraid to and never #apologise for using the #word of #GOD as #analogies to #explain something in a #setting! #SemST	UNKNOWN
10217	Atheism	How soon do you think WWIII &WWWIV will begin? #U9tedWeStand #EndRacism #EndReligion #EndSexism #EndMisogyny #LoveYourNeighbor #SemST	UNKNOWN
10218	Atheism	The humble trust in God: 'Whoever leans on, trusts in, and is confident in the Lord  happy, blessed, and fortunate is he' #SemST	UNKNOWN
10219	Atheism	Where will you be when @NewHorizons2015 flies by Pluto? #NewHorizons #PlutoFlyby #Pluto #EndRacism #EndSexism #EndReligion #Peace #SemST	UNKNOWN
10220	Atheism	No one can out woo God in the woo department - Claudia May  #godisloveislove #blacklives #SemST	UNKNOWN
10221	Climate Change is a Real Concern	Closed door session begins. More after they decide on the entities.  #GCF #SemST	UNKNOWN
10222	Climate Change is a Real Concern	What is the #energiewende agenda? Why are they not in the "de-carbonizer" camp?.  How long will you tolerate the lies?  #SemST	UNKNOWN
10223	Climate Change is a Real Concern	@climasphere Stocker: Fish catch potential could drop by as much as 50% in some areas due to #oceanacidification. #CFCC15 #SemST	UNKNOWN
10224	Climate Change is a Real Concern	...a longer memory, and a sterner sense of justice than we do. -W.Berry #SemST	UNKNOWN
10225	Climate Change is a Real Concern	Boni "Future Sea level rise will not be uniform & different for coasts" #CCFC15 #Journey2015 #SemST	UNKNOWN
10226	Climate Change is a Real Concern	@climasphere Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by #CFCC15 #SemST	UNKNOWN
10227	Climate Change is a Real Concern	Camille Parmesan: 2/3 of species have changed #habitat because of #H12 #CFCC15 #SemST	UNKNOWN
10228	Climate Change is a Real Concern	5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan #CFCC15 #SemST	UNKNOWN
10229	Climate Change is a Real Concern	It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... #SemST	UNKNOWN
10230	Climate Change is a Real Concern	Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions" #CCFC15 #journey2015 #SemST	UNKNOWN
10231	Climate Change is a Real Concern	Interesting speaker Maarten Van Aalst @Federation how their humanitarian experience can help Climate scientists #CCFC15 #SemST	UNKNOWN
10232	Climate Change is a Real Concern	putting my neck out as such when I did not have to be here at all? Regards Dion #peace #GMS #Democracy #Transparency #Future! #SemST	UNKNOWN
10233	Climate Change is a Real Concern	grow food not lawns  Lawns are Ecocide in your yard. #Patriarchy is Ecocide of your own species #DominoEffect #SemST	UNKNOWN
